CompanyName;InstagramLink;DisplayName;;Followers;Req. Followers;Extracted Followers;KVK code;Sector (KvK);Sector 2;Sector 3;Sector 4;Sector 5;Sector 6;Sector 7;Sector 8;SBI_1;SBI_2;SBI_3;SBI_4;SBI_5;SBI_6;SBI_7;SBI_8;
madedotcom;https://www.instagram.com/madedotcom/;madedotcom;;836000;;;72059737 0000;Markt- en opinieonderzoekbureaus;;;;;;;;7320;;;;;;;;
vtwonen.nl;https://www.instagram.com/vtwonen/;vtwonen;;734000;;;28104469 0000;Webportals;Detailhandel via internet in een algemeen assortiment non-food;Detailhandel via internet in consumentenelektronica;Detailhandel via internet in overige non-food;;;;;6312;47919;47912;47918;;;;;
hema.nl;https://www.instagram.com/hemanederland/?hl=nl;hemanederland;;409000;;;34215639 0000;Niet-gespecialiseerde groothandel in consumentenartikelen;Warenhuizen;;;;;;;46901;47191;;;;;;;
loods5.nl;https://www.instagram.com/loods5/;loods5;;359000;;;57593620 0000;Winkels in meubels;Winkels in artikelen voor woninginrichting algemeen assortiment;;;;;;;47591;47593;;;;;;;
ikea.com;https://www.instagram.com/ikeanederland/;ikeanederland;;336000;;;27232886 0000;Winkels in meubels;Winkels in vloerbedekking en gordijnen;Overige specialistische zakelijke dienstverlening;;;;;;47591;4753;7490;;;;;;
homify.nl;https://www.instagram.com/homify/;homify;;273000;;;;;;;;;;;;;;;;;;;;
westwingnow.nl;https://www.instagram.com/westwingnl/;westwingnl;;250000;;;53963199 0000;Detailhandel via internet in huis- en tuinartikelen;;;;;;;;47915;;;;;;;;
karwei.nl;https://www.instagram.com/karwei/?hl=nl;karwei;;229000;;;31021056 0000;Bouwmarkten en andere winkels in bouwmaterialen algemeen assortiment;;;;;;;;47528;;;;;;;;
kwantum.nl;https://www.instagram.com/kwantum_nederland/;kwantum_nederland;;197000;;;64518752 0000;Winkels in artikelen voor woninginrichting algemeen assortiment;Groothandel in woningtextiel en vloerbedekking;;;;;;;47593;46472;;;;;;;
xenos.nl;https://www.instagram.com/xenos_nl/?hl=nl;xenos_nl;;187000;;;16032653 0000;Groothandel in glas, porselein en aardewerk;;;;;;;;46441;;;;;;;;
Home Deco;https://www.instagram.com/homedeco/;homedeco;;183000;;;63061619 0000;Ontwikkelen, produceren en uitgeven van software;Advisering op het gebied van informatietechnologie;Markt- en opinieonderzoekbureaus;;;;;;6201;6202;7320;;;;;;
JD Sports;https://www.instagram.com/jdsportsnl/;jdsportsnl;;135000;1824;1980;;Groothandel in sportartikelen (geen watersport);Detailhandel via internet in vrijetijdsartikelen;;;;;;;46496;47916;;;;;;;
